Metlink_Stop_ID,Route_Number,Route_Name,Direction,Tram_Stop_Name,Stop_Sequence,Tram_Tracker_ID,VicgridX,VicgridY,Boardings,Alightings,DailyUse
2232,5,Malvern to Melbourne University,Down,49-Tooronga Rd/Wattletree Rd (Malvern East),0004,1144,2503521.848,2404137.038,53.6401824951,10.0575342178,63.697716713
22320,57,West Maribyrnong to City(Elizabeth/Flinders st),Up,48-Wests Rd/Cordite Ave (Maribyrnong),0002,1348,2489649.592,2414615.927,41.7140350342,3.47616958618,45.1902046204
22471,72,Melbourne University to Camberwell,Up,70-1219 Burke Rd (Kew),0067,,2505336.009,2410014.356,,34.5457856655,34.5457856655
22559,11,Preston to Victoria Harbour (Docklands),Up,22-Scotchmer St/St Georges Rd (Fitzroy North),0025,1362,2498592.663,2413085.046,8.46371746063,65.7449481487,74.2086656094
22560,75,City(La Trobe/Spencer St) to Vermont South,Down,23-Hawthorn Bridge/Church St (Hawthorn),0027,2923,2501468.286,2409024.143,43.6206970215,37.3891692162,81.0098662376
22561,48,North Balwyn to Victoria Harbour (Docklands),Up,23-Hawthorn Bridge/Bridge Rd (Hawthorn),0026,1923,2501466.875,2409011.269,71.4713947773,85.0849936008,156.556388378
22563,55,West Coburg to Domain Interchange,Up,112A-Power St/Queens Bridge St (Southbank),0044,3158,2496560.675,2408670.293,35.9103460312,26.1166152954,62.0269613266
22612,55,West Coburg to Domain Interchange,Up,114-City Rd/Kings Way (Southbank),0046,3178,2496543.744,2408310.574,29.3811922073,52.2332305908,81.6144227982
22903,70,Waterfront City Docklands to Wattle Park,Down,7A-William Barak Bridge/Melbourne Park (Melbourne City),0015,3622,2497904.982,2409206.03,6.38406133652,3.19203066826,9.57609200478
22904,70,Wattle Park to Waterfront City Docklands,Up,7A-William Barak Bridge/Melbourne Park (Melbourne City),0047,3723,2497871.882,2409188.374,3.43385100365,3.43385100365,6.86770200729
